# Formed from form_atmospheric_profiles_paper_model.py
# Z (cm)	T (K)	DEN (cm**-3)	P (bar)
2.9631498e+06	1.7547181e+02	3.2009548e+17	7.7548433e-03
2.9720853e+06	1.7547181e+02	3.1691048e+17	7.6776813e-03
2.9810208e+06	1.7547181e+02	3.1375717e+17	7.6012871e-03
2.9899563e+06	1.7547181e+02	3.1063523e+17	7.5256531e-03
2.9988918e+06	1.7547181e+02	3.0754436e+17	7.4507716e-03
3.0078273e+06	1.7547181e+02	3.0448424e+17	7.3766351e-03
3.0167628e+06	1.7547181e+02	3.0145457e+17	7.3032364e-03
3.0256983e+06	1.7547181e+02	2.9845505e+17	7.2305680e-03
3.0346338e+06	1.7547181e+02	2.9548537e+17	7.1586226e-03
3.0435693e+06	1.7547181e+02	2.9254525e+17	7.0873931e-03
3.0525048e+06	1.7547181e+02	2.8963437e+17	7.0168724e-03
3.0614403e+06	1.7547181e+02	2.8675246e+17	6.9470534e-03
3.0703758e+06	1.7547181e+02	2.8389923e+17	6.8779290e-03
3.0793113e+06	1.7547181e+02	2.8107438e+17	6.8094925e-03
3.0882468e+06	1.7547181e+02	2.7827765e+17	6.7417369e-03
3.0971823e+06	1.7547181e+02	2.7550874e+17	6.6746555e-03
3.1061178e+06	1.7547181e+02	2.7276738e+17	6.6082416e-03
3.1150533e+06	1.7547181e+02	2.7005330e+17	6.5424885e-03
3.1239888e+06	1.7547181e+02	2.6736622e+17	6.4773896e-03
3.1329243e+06	1.7547181e+02	2.6470588e+17	6.4129385e-03
3.1418598e+06	1.7547181e+02	2.6207202e+17	6.3491287e-03
3.1507953e+06	1.7547181e+02	2.5946436e+17	6.2859538e-03
3.1597308e+06	1.7547181e+02	2.5688264e+17	6.2234075e-03
3.1686663e+06	1.7547181e+02	2.5432662e+17	6.1614836e-03
3.1776018e+06	1.7547181e+02	2.5179603e+17	6.1001758e-03
3.1865373e+06	1.7547181e+02	2.4929061e+17	6.0394780e-03
3.1954728e+06	1.7547181e+02	2.4681013e+17	5.9793842e-03
3.2044083e+06	1.7547181e+02	2.4435433e+17	5.9198884e-03
3.2133438e+06	1.7547181e+02	2.4192296e+17	5.8609845e-03
3.2222793e+06	1.7547181e+02	2.3951579e+17	5.8026667e-03
3.2312148e+06	1.7547181e+02	2.3713257e+17	5.7449292e-03
3.2401503e+06	1.7547181e+02	2.3477306e+17	5.6877662e-03
3.2490858e+06	1.7547181e+02	2.3243703e+17	5.6311720e-03
3.2580213e+06	1.7547181e+02	2.3012424e+17	5.5751409e-03
3.2669568e+06	1.7547181e+02	2.2783447e+17	5.5196673e-03
3.2758923e+06	1.7547181e+02	2.2556748e+17	5.4647457e-03
3.2848278e+06	1.7547181e+02	2.2332304e+17	5.4103706e-03
3.2937633e+06	1.7547181e+02	2.2110094e+17	5.3565365e-03
3.3026988e+06	1.7547181e+02	2.1890095e+17	5.3032381e-03
3.3116343e+06	1.7547181e+02	2.1672285e+17	5.2504700e-03
3.3205698e+06	1.7547181e+02	2.1456642e+17	5.1982269e-03
3.3295053e+06	1.7547181e+02	2.1243145e+17	5.1465037e-03
3.3384408e+06	1.7547181e+02	2.1031772e+17	5.0952951e-03
3.3473763e+06	1.7547181e+02	2.0822502e+17	5.0445961e-03
3.3563118e+06	1.7547181e+02	2.0615315e+17	4.9944015e-03
3.3652473e+06	1.7547181e+02	2.0410189e+17	4.9447064e-03
3.3741828e+06	1.7547181e+02	2.0207104e+17	4.8955058e-03
3.3831183e+06	1.7547181e+02	2.0006040e+17	4.8467947e-03
3.3920538e+06	1.7547181e+02	1.9806977e+17	4.7985682e-03
3.4009893e+06	1.7547181e+02	1.9609894e+17	4.7508217e-03
3.4099248e+06	1.7547181e+02	1.9414773e+17	4.7035502e-03
3.4188603e+06	1.7547181e+02	1.9221592e+17	4.6567491e-03
3.4277958e+06	1.7547181e+02	1.9030334e+17	4.6104137e-03
3.4367313e+06	1.7547181e+02	1.8840979e+17	4.5645393e-03
3.4456668e+06	1.7547181e+02	1.8653508e+17	4.5191214e-03
3.4546023e+06	1.7547181e+02	1.8467903e+17	4.4741554e-03
