# Formed from form_atmospheric_profiles_paper_model.py
# Z (cm)	T (K)	DEN (cm**-3)	P (bar)
2.0461592e+06	1.7857729e+02	9.8345924e+18	2.4247597e-01
2.0552502e+06	1.7847668e+02	9.7422254e+18	2.4006330e-01
2.0643362e+06	1.7837618e+02	9.6507229e+18	2.3767463e-01
2.0734170e+06	1.7827580e+02	9.5600768e+18	2.3530972e-01
2.0824928e+06	1.7817552e+02	9.4702790e+18	2.3296835e-01
2.0915634e+06	1.7807536e+02	9.3813218e+18	2.3065028e-01
2.1006289e+06	1.7797532e+02	9.2931972e+18	2.2835527e-01
2.1096894e+06	1.7787538e+02	9.2058976e+18	2.2608310e-01
2.1187447e+06	1.7777556e+02	9.1194151e+18	2.2383353e-01
2.1277950e+06	1.7767585e+02	9.0337423e+18	2.2160635e-01
2.1368402e+06	1.7757625e+02	8.9488715e+18	2.1940133e-01
2.1458803e+06	1.7747676e+02	8.8647952e+18	2.1721825e-01
2.1549154e+06	1.7737738e+02	8.7815061e+18	2.1505689e-01
2.1639454e+06	1.7727812e+02	8.6989968e+18	2.1291704e-01
2.1729704e+06	1.7717897e+02	8.6172601e+18	2.1079848e-01
2.1819903e+06	1.7707992e+02	8.5362887e+18	2.0870100e-01
2.1910051e+06	1.7698099e+02	8.4560755e+18	2.0662439e-01
2.2000150e+06	1.7688217e+02	8.3766134e+18	2.0456844e-01
2.2090198e+06	1.7678346e+02	8.2978955e+18	2.0253295e-01
2.2180196e+06	1.7668486e+02	8.2199147e+18	2.0051772e-01
2.2270143e+06	1.7658636e+02	8.1426642e+18	1.9852253e-01
2.2360041e+06	1.7648798e+02	8.0661373e+18	1.9654720e-01
2.2449888e+06	1.7638971e+02	7.9903270e+18	1.9459152e-01
2.2539686e+06	1.7629155e+02	7.9152268e+18	1.9265530e-01
2.2629433e+06	1.7619349e+02	7.8408301e+18	1.9073835e-01
2.2719131e+06	1.7609555e+02	7.7671302e+18	1.8884047e-01
2.2808778e+06	1.7599771e+02	7.6941207e+18	1.8696148e-01
2.2898376e+06	1.7589999e+02	7.6217951e+18	1.8510118e-01
2.2987924e+06	1.7580237e+02	7.5501470e+18	1.8325939e-01
2.3077423e+06	1.7570486e+02	7.4791702e+18	1.8143593e-01
2.3166872e+06	1.7560745e+02	7.4088583e+18	1.7963061e-01
2.3256271e+06	1.7551016e+02	7.3392052e+18	1.7784326e-01
2.3345621e+06	1.7541297e+02	7.2702046e+18	1.7607369e-01
2.3434921e+06	1.7531589e+02	7.2018506e+18	1.7432172e-01
2.3524172e+06	1.7521892e+02	7.1341371e+18	1.7258719e-01
2.3613374e+06	1.7512206e+02	7.0670580e+18	1.7086992e-01
2.3702526e+06	1.7502530e+02	7.0006075e+18	1.6916974e-01
2.3791629e+06	1.7492865e+02	6.9347798e+18	1.6748647e-01
2.3880683e+06	1.7483211e+02	6.8695689e+18	1.6581995e-01
2.3969687e+06	1.7473567e+02	6.8049691e+18	1.6417002e-01
2.4058643e+06	1.7463934e+02	6.7409748e+18	1.6253650e-01
2.4147550e+06	1.7454311e+02	6.6775803e+18	1.6091923e-01
2.4236407e+06	1.7444700e+02	6.6147799e+18	1.5931806e-01
2.4325216e+06	1.7435098e+02	6.5525682e+18	1.5773282e-01
2.4413976e+06	1.7425507e+02	6.4909396e+18	1.5616335e-01
2.4502687e+06	1.7415927e+02	6.4298887e+18	1.5460950e-01
2.4591349e+06	1.7406358e+02	6.3694101e+18	1.5307111e-01
2.4679962e+06	1.7396798e+02	6.3094984e+18	1.5154802e-01
2.4768527e+06	1.7387250e+02	6.2501484e+18	1.5004010e-01
2.4857044e+06	1.7377712e+02	6.1913548e+18	1.4854717e-01
2.4945511e+06	1.7368184e+02	6.1331124e+18	1.4706910e-01
2.5033931e+06	1.7358667e+02	6.0754160e+18	1.4560574e-01
2.5122301e+06	1.7349160e+02	6.0182607e+18	1.4415694e-01
2.5210624e+06	1.7339663e+02	5.9616412e+18	1.4272255e-01
2.5298898e+06	1.7330177e+02	5.9055526e+18	1.4130244e-01
2.5387124e+06	1.7320702e+02	5.8499900e+18	1.3989646e-01
2.5475301e+06	1.7311236e+02	5.7949484e+18	1.3850446e-01
2.5563431e+06	1.7301781e+02	5.7404230e+18	1.3712632e-01
2.5651512e+06	1.7292337e+02	5.6864089e+18	1.3576189e-01
2.5739545e+06	1.7282902e+02	5.6329014e+18	1.3441104e-01
2.5827531e+06	1.7273478e+02	5.5798957e+18	1.3307363e-01
2.5915468e+06	1.7264064e+02	5.5273872e+18	1.3174952e-01
2.6003357e+06	1.7254661e+02	5.4753711e+18	1.3043859e-01
2.6091199e+06	1.7245267e+02	5.4238430e+18	1.2914071e-01
2.6178992e+06	1.7235884e+02	5.3727982e+18	1.2785573e-01
2.6266738e+06	1.7226511e+02	5.3222321e+18	1.2658355e-01
2.6354436e+06	1.7217149e+02	5.2721405e+18	1.2532402e-01
2.6442087e+06	1.7207796e+02	5.2225187e+18	1.2407703e-01
2.6529690e+06	1.7198454e+02	5.1733625e+18	1.2284244e-01
2.6617245e+06	1.7189122e+02	5.1246674e+18	1.2162014e-01
2.6704753e+06	1.7179800e+02	5.0764292e+18	1.2041000e-01
2.6792214e+06	1.7170488e+02	5.0286436e+18	1.1921190e-01
2.6879627e+06	1.7161186e+02	4.9813063e+18	1.1802572e-01
2.6966993e+06	1.7151894e+02	4.9344132e+18	1.1685134e-01
2.7054311e+06	1.7142612e+02	4.8879601e+18	1.1568865e-01
